Year,Deaths,Title
2005,12352,Gun Homicides
2006,12791,Gun Homicides
2007,12632,Gun Homicides
2008,12179,Gun Homicides
2009,11493,Gun Homicides
2010,11078,Gun Homicides
2011,11068,Gun Homicides
2012,11622,Gun Homicides
2013,11208,Gun Homicides
2014,10945,Gun Homicides
2015,12979,Gun Homicides
