Year,Deaths,Title
2005,17011,HIV
2006,14627,HIV	
2007,14561,HIV
2008,16276,HIV
2009,14935,HIV
2010,14756,HIV
2011,10313,HIV
2012,12042,HIV
2013,,HIV
2014,6721,HIV
2015,,HIV
